Time,ENERGY_CHARGED,POWER_PRODUCTION,POWER_STORAGE,POWER_GRID,ENERGY_PRODUCED,POWER_CONSUMPTION,ENERGY_CONSUMED_CALC,ENERGY_EXPORTED,ENERGY_IMPORTED,ENERGY_DISCHARGED
2020-10-12 00:00:00,0.0,0.0,0.0,11886.911901346843,24197960.0,11886.911906115214,92863954.0,2850206000.0,71516200.0,0.0
2020-10-12 00:15:00,0.0,0.0,0.0,11823.676030476889,24197960.0,11823.675997416178,92866874.0,2850206000.0,71519120.0,0.0
2020-10-12 00:30:00,0.0,0.0,0.0,11072.283898925782,24197960.0,11072.284123738607,92869634.0,2850206000.0,71521880.0,0.0
2020-10-12 00:45:00,0.0,0.0,0.0,10647.19263712565,24197960.0,10647.192721748352,92872234.0,2850206000.0,71524480.0,0.0
2020-10-12 01:00:00,0.0,0.0,0.0,11956.350024922689,24197960.0,11956.35017636617,92875282.0,2850206000.0,71527528.0,0.0
2020-10-12 01:15:00,0.0,0.0,0.0,12375.201848856608,24197960.0,12375.202004241943,92878354.0,2850206000.0,71530600.0,0.0
2020-10-12 01:30:00,0.0,0.0,0.0,2625.6786865234376,24197960.0,2625.6786704381307,92879122.0,2850206000.0,71531368.0,0.0
2020-10-12 01:45:00,0.0,0.0,0.0,3787.193342590332,24197960.0,3787.1933355967203,92879914.0,2850206000.0,71532160.0,0.0
2020-10-12 02:00:00,0.0,0.0,0.0,15712.103801981608,24197960.0,15712.104119173686,92883814.0,2850206000.0,71536060.0,0.0
2020-10-12 02:15:00,0.0,0.0,0.0,11951.597161356609,24197960.0,11951.597389920553,92886894.0,2850206000.0,71539140.0,0.0
2020-10-12 02:30:00,0.0,0.0,0.0,11541.173268636068,24197960.0,11541.173406791688,92889806.0,2850206000.0,71542052.0,0.0
2020-10-12 02:45:00,0.0,0.0,0.0,2672.9980407714843,24197960.0,2672.998044459025,92890454.0,2850206000.0,71542700.0,0.0
